,Unnamed: 0,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
1933,6734,Chouyaku Hyakuninisshu: Uta Koi.,Utakoi,超訳百人一首 うた恋い。,TV,Manga,TV Tokyo,Romance,TYO Animations,13.0,24 min per ep,PG-13 - Teens 13 or older,7.53,6199.0,1567.0,2890.0,89.0,Unknown,Summer,2012
1934,6738,"Kono Naka ni Hitori, Imouto ga Iru!",NAKAIMO - My Little Sister Is Among Them!,この中に1人、妹がいる！,TV,Light novel,Lantis,Ecchi,Studio Gokumi,12.0,24 min per ep,R+ - Mild Nudity,6.76,65911.0,4628.0,715.0,195.0,Unknown,Summer,2012
1935,6742,Recorder to Randoseru Re♪,Recorder and Randsell Re,リコーダーとランドセル レ♪,TV,4-koma manga,Takeshobo,School,Seven,13.0,3 min per ep,PG-13 - Teens 13 or older,6.94,12824.0,3888.0,2790.0,6.0,Unknown,Spring,2012
1939,6780,Binbougami ga!,Good Luck Girl!,貧乏神が!,TV,Manga,TV Tokyo,Comedy,Sunrise,13.0,23 min per ep,PG-13 - Teens 13 or older,7.81,79748.0,874.0,584.0,1053.0,Unknown,Summer,2012
1940,6783,Shuukan Storyland,Weekly Story Land,週刊ストーリーランド,TV,Original,Nippon Television Network,Comedy,Satelight,56.0,25 min per ep,PG-13 - Teens 13 or older,6.64,28.0,12952.0,11251.0,0.0,Thursdays at 20:00 (JST),Fall,1999
1941,6788,Natsuyuki Rendezvous,Natsuyuki Rendezvous,夏雪ランデブー,TV,Manga,Fuji TV,Romance,Doga Kobo,11.0,24 min per ep,PG-13 - Teens 13 or older,7.33,24053.0,2357.0,1582.0,192.0,Fridays at 01:15 (JST),Summer,2012
1942,6791,Robotics;Notes,Robotics;Notes,ロボティクス・ノーツ,TV,Visual novel,Aniplex,Sci-Fi,Production I.G,22.0,23 min per ep,PG-13 - Teens 13 or older,7.4,58339.0,2075.0,696.0,540.0,Fridays at 01:15 (JST),Fall,2012
1943,6792,Psycho-Pass,Psycho-Pass,サイコパス,TV,Original,Dentsu,Sci-Fi,Production I.G,22.0,23 min per ep,R - 17+ (violence & profanity),8.43,413239.0,150.0,32.0,26078.0,Fridays at 00:45 (JST),Fall,2012
1944,6797,Little Busters!,Little Busters!,リトルバスターズ!,TV,Visual novel,Warner Bros. Japan,Comedy,J.C.Staff,26.0,24 min per ep,PG-13 - Teens 13 or older,7.6,70348.0,1368.0,488.0,1726.0,Unknown,Fall,2012
1945,6798,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,Oreimo 2,俺の妹がこんなに可愛いわけがない。,TV,Light novel,Aniplex,Slice of Life,A-1 Pictures,13.0,24 min per ep,PG-13 - Teens 13 or older,7.26,173779.0,2640.0,290.0,1159.0,Unknown,Spring,2013
1946,6799,To LOVE-Ru Darkness,To LOVE Ru Darkness,To LOVEる -とらぶる- ダークネス,TV,Manga,Geneon Universal Entertainment,Romance,Xebec,12.0,23 min per ep,R+ - Mild Nudity,7.68,113195.0,1169.0,417.0,1731.0,Unknown,Fall,2012
1948,6815,Sakurasou no Pet na Kanojo,The Pet Girl of Sakurasou,さくら荘のペットな彼女,TV,Light novel,Genco,Slice of Life,J.C.Staff,24.0,23 min per ep,PG-13 - Teens 13 or older,8.31,349089.0,244.0,64.0,19652.0,Tuesdays at 00:30 (JST),Fall,2012
1949,6860,Mangirl!,Mangaruru!,まんがーる!,TV,Manga,Earth Star Entertainment,Comedy,Doga Kobo,13.0,3 min per ep,PG-13 - Teens 13 or older,5.98,10097.0,7774.0,2639.0,16.0,Unknown,Winter,2013
1950,6867,Zetsuen no Tempest,Blast of Tempest,絶園のテンペスト,TV,Manga,Aniplex,Drama,Bones,24.0,24 min per ep,PG-13 - Teens 13 or older,8.1,171964.0,451.0,171.0,5691.0,Fridays at 02:00 (JST),Fall,2012
1951,6869,Pokemon Best Wishes! Season 2,Pokémon: Black & White: Rival Destinies,ポケットモンスター ベストウイッシュ シーズン2,TV,Game,TV Tokyo,Comedy,OLM,24.0,22 min per ep,PG - Children,6.62,16179.0,5270.0,2304.0,33.0,Thursdays at 19:00 (JST),Summer,2012
1952,6876,Girls & Panzer,Girls & Panzer,ガールズ&パンツァー,TV,Original,Lantis,Action,Actas,12.0,24 min per ep,PG-13 - Teens 13 or older,7.64,79473.0,1252.0,571.0,2969.0,Tuesdays at 01:00 (JST),Fall,2012
1953,6883,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,OniAi,お兄ちゃんだけど愛さえあれば関係ないよねっ,TV,Light novel,Lantis,School,Silver Link.,12.0,24 min per ep,R+ - Mild Nudity,6.69,80333.0,4934.0,530.0,334.0,Unknown,Fall,2012
1954,6888,Tonari no Kaibutsu-kun,My Little Monster,となりの怪物くん,TV,Manga,TV Tokyo,Comedy,Brain's Base,13.0,24 min per ep,PG-13 - Teens 13 or older,7.69,305147.0,1141.0,90.0,4337.0,Tuesdays at Unknown,Fall,2012
1956,6896,Chitose Get You!!,Chitose Gechu !!,ちとせげっちゅ!!,TV,4-koma manga,AT-X,Romance,Silver Link.,26.0,3 min per ep,PG-13 - Teens 13 or older,6.34,7043.0,6458.0,3265.0,13.0,Unknown,Summer,2012
1957,6897,Vividred Operation,Vividred Operation,ビビッドレッド・オペレーション,TV,Original,Aniplex,Action,A-1 Pictures,12.0,24 min per ep,R+ - Mild Nudity,6.52,21667.0,5725.0,1580.0,107.0,Fridays at 01:30 (JST),Winter,2013
1958,6898,Sukitte Ii na yo.,"Say ""I Love You"".",好きっていいなよ。,TV,Manga,Starchild Records,School,Zexcs,13.0,24 min per ep,PG-13 - Teens 13 or older,7.66,192636.0,1221.0,204.0,3695.0,Unknown,Fall,2012
1959,6901,Tanken Driland,Tanken driland,探検ドリランド,TV,Unknown,TV Tokyo,Fantasy,Toei Animation,37.0,20 min per ep,PG - Children,6.51,597.0,5762.0,5371.0,5.0,Unknown,Summer,2012
1960,6902,Btooom!,BTOOOM!,BTOOOM!,TV,Manga,Sotsu,Seinen,Madhouse,12.0,24 min per ep,R - 17+ (violence & profanity),7.56,297567.0,1476.0,96.0,3062.0,Thursdays at 23:00 (JST),Fall,2012
1961,6906,Yama no Susume,Encouragement of Climb,ヤマノススメ,TV,Manga,Earth Star Entertainment,Comedy,8bit,12.0,3 min per ep,G - All Ages,6.83,17531.0,4309.0,1756.0,86.0,Thursdays at 01:30 (JST),Winter,2013
1962,6912,Chihayafuru 2,Chihaya Furu 2,ちはやふる 2,TV,Manga,VAP,Drama,Madhouse,25.0,22 min per ep,PG-13 - Teens 13 or older,8.47,68382.0,120.0,769.0,1225.0,Unknown,Winter,2013
1963,6914,K,K,K,TV,Original,Starchild Records,Supernatural,GoHands,13.0,24 min per ep,PG-13 - Teens 13 or older,7.66,222693.0,1212.0,130.0,5598.0,Thursdays at Unknown,Fall,2012
1964,6918,Magi: The Labyrinth of Magic,Magi: The Labyrinth of Magic,マギ The labyrinth of magic,TV,Manga,Aniplex,Fantasy,A-1 Pictures,25.0,24 min per ep,PG-13 - Teens 13 or older,8.2,275656.0,321.0,92.0,6656.0,Unknown,Fall,2012
1965,6921,Medaka Box Abnormal,Medaka Box Abnormal,めだかボックス アブノーマル,TV,Manga,TV Tokyo,School,Gainax,12.0,24 min per ep,PG-13 - Teens 13 or older,7.55,49136.0,1525.0,1005.0,248.0,Thursdays at 01:35 (JST),Fall,2012
1966,6930,Chikyuu SOS Sore Ike Kororin,Do it Kororin Earth SOS,地球SOSそれいけコロリン,TV,Unknown,NHK,Kids,Studio Gallop,26.0,25 min per ep,G - All Ages,5.39,18.0,10639.0,12849.0,1.0,Unknown,Spring,1992
1967,6934,Hiiro no Kakera Dai Ni Shou,Hiiro no Kakera: The Tamayori Princess Saga Season 2,緋色の欠片 第二章,TV,Visual novel,Bandai Visual,Romance,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,7.35,16988.0,2266.0,2093.0,133.0,Unknown,Fall,2012
1968,6936,Hayate no Gotoku! Can't Take My Eyes Off You,Hayate the Combat Butler: Can't Take My Eyes Off You,ハヤテのごとく! CAN'T TAKE MY EYES OFF YOU,TV,Manga,TV Tokyo,Parody,Manglobe,12.0,24 min per ep,PG-13 - Teens 13 or older,7.09,18565.0,3322.0,1971.0,63.0,Unknown,Fall,2012
1969,6944,Yurumates 3D Plus,Yurumetsu 3 De PLUS,ゆるめいつ 3でぃPLUS,TV,Unknown,DAX Production,Comedy,C2C,13.0,3 min per ep,PG-13 - Teens 13 or older,6.46,2102.0,5973.0,5859.0,2.0,Unknown,Summer,2012
1970,6945,Kamisama Hajimemashita,Kamisama Kiss,神様はじめました,TV,Manga,TV Tokyo,Fantasy,TMS Entertainment,13.0,24 min per ep,PG-13 - Teens 13 or older,8.13,151473.0,406.0,270.0,7096.0,Tuesdays at 02:05 (JST),Fall,2012
1971,6946,JoJo no Kimyou na Bouken (TV),JoJo's Bizarre Adventure,ジョジョの奇妙な冒険,TV,Manga,Yomiko Advertising,Action,David Production,26.0,24 min per ep,R - 17+ (violence & profanity),8.39,232092.0,176.0,143.0,15096.0,Saturdays at 00:30 (JST),Fall,2012
1972,6948,Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions!",中二病でも恋がしたい!,TV,Light novel,Lantis,Drama,Kyoto Animation,12.0,24 min per ep,PG-13 - Teens 13 or older,7.87,355806.0,757.0,63.0,11647.0,Thursdays at 00:30 (JST),Fall,2012
1973,6950,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,Oreshura,俺の彼女と幼なじみが修羅場すぎる,TV,Light novel,Aniplex,Comedy,A-1 Pictures,13.0,23 min per ep,PG-13 - Teens 13 or older,7.25,133911.0,2674.0,312.0,1498.0,Sundays at 00:00 (JST),Winter,2013
1974,6953,Ixion Saga DT,Ixion Saga DT,イクシオン サーガ DT,TV,Game,Sotsu,Fantasy,Brain's Base,25.0,24 min per ep,PG-13 - Teens 13 or older,7.31,30115.0,2431.0,1241.0,279.0,Unknown,Fall,2012
1975,6956,GJ-bu,GJ Club,GJ部,TV,Light novel,VAP,School,Doga Kobo,12.0,23 min per ep,PG-13 - Teens 13 or older,7.42,53084.0,1963.0,803.0,641.0,Unknown,Winter,2013
1976,6957,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,My Teen Romantic Comedy SNAFU,やはり俺の青春ラブコメはまちがっている。,TV,Light novel,Geneon Universal Entertainment,School,Brain's Base,13.0,24 min per ep,PG-13 - Teens 13 or older,8.1,340376.0,450.0,74.0,15575.0,Unknown,Spring,2013
1977,6960,D.C.III: Da Capo III,D.C.III ~ Da Capo III-,D.C.III ～ダ・カーポIII～,TV,Visual novel,Lantis,Romance,Kazami Gakuen Koushiki Douga-bu,13.0,23 min per ep,PG-13 - Teens 13 or older,6.68,8277.0,4962.0,2786.0,42.0,Unknown,Winter,2013
1978,6961,Fate/kaleid liner Prisma☆Illya,Fate/Kaleid Liner Prisma Illya,Fate/kaleid liner プリズマ☆イリヤ,TV,Manga,Lantis,Action,Silver Link.,10.0,24 min per ep,PG-13 - Teens 13 or older,7.22,69928.0,2775.0,587.0,768.0,Saturdays at 01:30 (JST),Summer,2013
1979,6962,Maoyuu Maou Yuusha,Maoyu ~ Archenemy & Hero,まおゆう魔王勇者,TV,Light novel,Genco,Romance,Arms,12.0,23 min per ep,PG-13 - Teens 13 or older,7.42,118469.0,1972.0,328.0,819.0,Saturdays at Unknown,Winter,2013
1980,6969,Battle Spirits: Sword Eyes,Battle Spirits Sword Eyes,バトルスピリッツ ソードアイズ,TV,Card game,Nagoya Broadcasting Network,Game,Sunrise,29.0,25 min per ep,PG - Children,6.89,340.0,4052.0,7968.0,7.0,Unknown,Fall,2012
1981,6970,RDG: Red Data Girl,Red Data Girl,RDG レッドデータガール,TV,Novel,Lantis,Fantasy,P.A. Works,12.0,24 min per ep,PG-13 - Teens 13 or older,6.65,36742.0,5129.0,1097.0,210.0,Unknown,Spring,2013
1982,6972,AKB0048: Next Stage,AKB0048: Next Stage,AKB0048 next stage,TV,Original,Starchild Records,Music,Satelight,13.0,23 min per ep,PG-13 - Teens 13 or older,7.76,14740.0,967.0,2416.0,310.0,Unknown,Winter,2013
1983,6977,Boku wa Tomodachi ga Sukunai Next,Haganai: I don't have many friends NEXT,僕は友達が少ない NEXT,TV,Light novel,Media Factory,Comedy,AIC Build,12.0,24 min per ep,R+ - Mild Nudity,7.56,198075.0,1475.0,237.0,1037.0,Unknown,Winter,2013
1984,6978,Chousoku Henkei Gyrozetter,Super speed deformation gyrosetter,超速変形ジャイロゼッター,TV,Game,TV Tokyo,Action,A-1 Pictures,51.0,25 min per ep,G - All Ages,6.55,680.0,5559.0,5792.0,13.0,Tuesdays at 18:00 (JST),Fall,2012
1985,6988,Litchi DE Hikari Club,Lychee Light Club,ライチ DE 光クラブ,TV,Manga,Nelke Planning,Psychological,Kachidoki Studio,8.0,3 min per ep,PG-13 - Teens 13 or older,5.29,3974.0,9328.0,4156.0,14.0,Unknown,Fall,2012
1986,6989,Love Live! School Idol Project,Love Live! School Idol Project,ラブライブ! School idol project,TV,Other,Bandai Visual,Slice of Life,Sunrise,13.0,23 min per ep,PG-13 - Teens 13 or older,7.59,130834.0,1403.0,310.0,6793.0,Sundays at 22:00 (JST),Winter,2013
1987,6990,Initial D Fifth Stage,Initial D Fifth Stage,頭文字 D Fifth Stage,TV,Manga,Avex Entertainment,Drama,SynergySP,14.0,27 min per ep,PG-13 - Teens 13 or older,8.14,28196.0,386.0,1588.0,305.0,Unknown,Fall,2012
1988,6991,Aikatsu!,Aikatsu!Idolkatsudo!,アイカツ！アイドルカツドウ！,TV,Original,TV Tokyo,Slice of Life,Sunrise,178.0,24 min per ep,PG - Children,7.43,5293.0,1901.0,2563.0,626.0,Thursdays at 18:30 (JST),Fall,2012
1990,6995,Amnesia,Amnesia,AMNESIA,TV,Visual novel,Geneon Universal Entertainment,Fantasy,Brain's Base,12.0,23 min per ep,PG-13 - Teens 13 or older,6.31,90659.0,6577.0,494.0,944.0,Unknown,Winter,2013
1991,6999,Cuticle Tantei Inaba,Cuticle Detective Inaba,キューティクル探偵因幡,TV,Manga,Frontier Works,Comedy,Zexcs,12.0,23 min per ep,PG-13 - Teens 13 or older,7.39,25152.0,2090.0,1332.0,343.0,Unknown,Winter,2013
1992,7002,Senran Kagura,Senran Kagura: Ninja Flash,閃乱カグラ,TV,Game,Genco,Ecchi,Artland,12.0,24 min per ep,PG-13 - Teens 13 or older,6.44,25389.0,6036.0,1090.0,233.0,Sundays at 20:30 (JST),Winter,2013
1993,7003,Teekyuu,Teekyu,てーきゅう,TV,Manga,DAX Production,School,MAPPA,12.0,2 min per ep,PG-13 - Teens 13 or older,6.68,19319.0,4996.0,1788.0,177.0,Sundays at 22:27 (JST),Fall,2012
1994,7018,Hentai Ouji to Warawanai Neko.,"The ""Hentai"" Prince and the Stony Cat.",変態王子と笑わない猫。,TV,Light novel,Frontier Works,Romance,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,7.37,158753.0,2181.0,273.0,1525.0,Saturdays at 22:30 (JST),Spring,2013
1995,7023,Wooser no Sono Higurashi,Wooser's Hand-to-Mouth Life,うーさーのその日暮らし,TV,Web manga,TV Tokyo,Comedy,SANZIGEN,12.0,4 min per ep,G - All Ages,6.3,4352.0,6655.0,4040.0,24.0,Wednesdays at 01:35 (JST),Fall,2012
1996,7024,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,"Problem children are coming from another world, aren't they?",問題児たちが異世界から来るそうですよ?,TV,Light novel,Kadokawa Shoten,Action,Diomedea,10.0,23 min per ep,PG-13 - Teens 13 or older,7.76,185077.0,976.0,202.0,3402.0,Saturdays at 01:30 (JST),Winter,2013
1997,7030,Hyakka Ryouran: Samurai Bride,Samurai Bride,百花繚乱 サムライブライド,TV,Light novel,Genco,Harem,Arms,12.0,24 min per ep,R+ - Mild Nudity,6.86,30295.0,4172.0,1326.0,79.0,Unknown,Spring,2013
1998,7031,Kotoura-san,The Troubled Life of Miss Kotoura,琴浦さん,TV,4-koma manga,AIC,Drama,AIC Classic,12.0,23 min per ep,PG-13 - Teens 13 or older,7.35,102070.0,2272.0,463.0,848.0,Unknown,Winter,2013
1999,7039,Gintama': Enchousen,Gintama: Enchousen,銀魂' 延長戦,TV,Manga,TV Tokyo,Historical,Sunrise,13.0,24 min per ep,PG-13 - Teens 13 or older,9.05,71441.0,8.0,679.0,1651.0,Thursdays at 18:00 (JST),Fall,2012
2000,7044,High School DxD New,High School DxD New,ハイスクールD×D NEW,TV,Light novel,Genco,Ecchi,TNK,12.0,24 min per ep,R+ - Mild Nudity,7.74,286986.0,1016.0,125.0,3838.0,Sundays at 20:30 (JST),Summer,2013
2001,7049,Yu☆Gi☆Oh! Zexal Second,"Yu -Gi -Oh, King ZEXAL II",遊☆戯☆王ZEXALⅡ（セカンド）,TV,Manga,TV Tokyo,Game,Studio Gallop,73.0,23 min per ep,PG-13 - Teens 13 or older,6.99,8319.0,3719.0,3024.0,124.0,Unknown,Fall,2012
2003,7060,Cross Fight B-Daman eS,B-Daman Fireblast,クロスファイト ビーダマン eS,TV,Unknown,TV Tokyo,Game,SynergySP,52.0,12 min per ep,G - All Ages,6.56,362.0,5516.0,8535.0,5.0,Unknown,Fall,2012
2005,7064,Date A Live,Date A Live,デート・ア・ライブ,TV,Light novel,Kadokawa Shoten,Comedy,AIC Plus+,12.0,23 min per ep,R - 17+ (violence & profanity),7.44,274562.0,1864.0,103.0,7398.0,Saturdays at 01:30 (JST),Spring,2013
2006,7066,Brothers Conflict,Brothers Conflict,BROTHERS CONFLICT,TV,Novel,Kadokawa Shoten,Harem,Brain's Base,12.0,24 min per ep,PG-13 - Teens 13 or older,6.48,53215.0,5855.0,937.0,720.0,Unknown,Summer,2013
2007,7069,Cardfight!! Vanguard: Link Joker-hen,Cardfight!! Vanguard Link Joker,カードファイト!! ヴァンガード リンクジョーカー編,TV,Original,TV Tokyo,Action,TMS Entertainment,59.0,24 min per ep,PG-13 - Teens 13 or older,7.35,5946.0,2260.0,3592.0,69.0,Sundays at 10:00 (JST),Winter,2013
2008,7070,Hakkenden: Touhou Hakken Ibun,Hakkenden -Eight Dogs of the East-,八犬伝 -東方八犬異聞-,TV,Manga,Bandai Visual,Demons,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,7.53,30248.0,1574.0,1181.0,583.0,Sundays at 02:58 (JST),Winter,2013
2009,7074,Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,Phi Brain: Puzzle of God 3,ファイ・ブレイン 〜神のパズル 宿敵！レイツェル編,TV,Original,NHK,Mystery,Sunrise,25.0,25 min per ep,PG-13 - Teens 13 or older,7.37,9307.0,2199.0,2472.0,39.0,Unknown,Fall,2013
2010,7080,Nekomonogatari: Kuro,Nekomonogatari Black,猫物語（黒）,TV,Light novel,Aniplex,Romance,Shaft,4.0,24 min per ep,R - 17+ (violence & profanity),8.04,176155.0,513.0,282.0,797.0,Mondays at 22:00 (JST),Fall,2012
2011,7081,Haiyore! Nyaruko-san W,Nyaruko: Crawling With Love! Second Season,這いよれ！ニャル子さん W,TV,Light novel,Avex Entertainment,Comedy,Xebec,12.0,24 min per ep,PG-13 - Teens 13 or older,7.38,61200.0,2146.0,818.0,250.0,Unknown,Spring,2013
2012,7090,Senyuu.,Warabe.,戦勇。,TV,Web manga,TV Tokyo,Shounen,Ordet,13.0,4 min per ep,PG-13 - Teens 13 or older,7.43,38530.0,1934.0,1099.0,535.0,Unknown,Winter,2013
2014,7098,Senki Zesshou Symphogear G,Symphogear G,戦姫絶唱シンフォギアG,TV,Original,Starchild Records,Music,Satelight,13.0,23 min per ep,PG-13 - Teens 13 or older,7.51,16323.0,1647.0,2071.0,466.0,Fridays at 02:35 (JST),Summer,2013
2015,7099,Beast Saga,Beast Saga,ビーストサーガ,TV,Unknown,TV Tokyo,Shounen,SynergySP,38.0,11 min per ep,PG - Children,5.85,188.0,8102.0,8669.0,1.0,Sundays at Unknown,Winter,2013
2016,7101,Hataraku Maou-sama!,The Devil is a Part-Timer!,はたらく魔王さま!,TV,Light novel,Sotsu,Fantasy,White Fox,13.0,24 min per ep,PG-13 - Teens 13 or older,7.95,431165.0,630.0,51.0,7487.0,Thursdays at 22:00 (JST),Spring,2013
2017,7112,Ginga Kikoutai Majestic Prince,Majestic Prince,銀河機攻隊 マジェスティックプリンス,TV,Manga,TV Tokyo,Seinen,Doga Kobo,24.0,23 min per ep,PG-13 - Teens 13 or older,7.41,17948.0,2003.0,1850.0,142.0,Thursdays at 22:30 (JST),Spring,2013
2019,7115,Pyun Pyun Maru,Pyun Pyun Maru,ピュンピュン丸,TV,Unknown,TV Asahi,Martial Arts,Toei Animation,26.0,25 min per ep,G - All Ages,5.67,18.0,12643.0,12330.0,0.0,Unknown,Summer,1967
2021,7119,Fantasista Doll,Fantasista Doll,ファンタジスタドール,TV,Original,Amber Film Works,Fantasy,Hoods Entertainment,12.0,23 min per ep,PG-13 - Teens 13 or older,6.21,7876.0,6989.0,2761.0,17.0,Sundays at 03:28 (JST),Summer,2013
2023,7125,Yuyushiki,Yuyushiki,ゆゆ式,TV,4-koma manga,Geneon Universal Entertainment,Slice of Life,Kinema Citrus,12.0,23 min per ep,PG-13 - Teens 13 or older,7.43,27600.0,1945.0,1293.0,503.0,Unknown,Spring,2013
2024,7126,Happy☆Lucky Bikkuriman,Celebration! (Happi ☆ Raki) Surprisingman,祝! (ハピ☆ラキ)ビックリマン,TV,Unknown,TV Asahi,Comedy,Toei Animation,46.0,24 min per ep,G - All Ages,6.68,50.0,4970.0,11780.0,1.0,Unknown,Fall,2006
2026,7143,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Unlimited Psychic Squad,絶対可憐チルドレン THE UNLIMITED 兵部京介,TV,Original,TV Tokyo,Super Power,Manglobe,12.0,24 min per ep,R - 17+ (violence & profanity),7.63,40037.0,1301.0,1040.0,311.0,Unknown,Winter,2013
2027,7145,Kamisama no Inai Nichiyoubi,Sunday Without God,神さまのいない日曜日,TV,Light novel,Starchild Records,Mystery,Madhouse,12.0,23 min per ep,R - 17+ (violence & profanity),7.45,68948.0,1840.0,582.0,827.0,Sundays at 01:30 (JST),Summer,2013
2028,7146,Tokyo Ravens,Tokyo Ravens,東京レイヴンズ,TV,Light novel,Geneon Universal Entertainment,Supernatural,8bit,24.0,23 min per ep,PG-13 - Teens 13 or older,7.7,123428.0,1124.0,298.0,1674.0,Wednesdays at 00:30 (JST),Fall,2013
2030,7151,Karneval,Karneval,カーニヴァル,TV,Manga,Bandai Visual,Action,Manglobe,13.0,24 min per ep,PG-13 - Teens 13 or older,7.28,60391.0,2545.0,662.0,1034.0,Unknown,Spring,2013
2031,7153,Toaru Kagaku no Railgun S,A Certain Scientific Railgun S,とある科学の超電磁砲S,TV,Manga,Geneon Universal Entertainment,Super Power,J.C.Staff,24.0,24 min per ep,R - 17+ (violence & profanity),8.11,101969.0,438.0,445.0,2286.0,Fridays at 23:30 (JST),Spring,2013
2032,7154,Ro-Kyu-Bu! SS,Row Kyu! SS,ロウきゅーぶ! SS,TV,Light novel,AT-X,Comedy,Barnum Studio,12.0,24 min per ep,PG-13 - Teens 13 or older,7.22,13237.0,2793.0,2413.0,50.0,Unknown,Summer,2013
2033,7156,Nagi no Asu kara,A Lull in the Sea,凪のあすから,TV,Original,Geneon Universal Entertainment,Drama,P.A. Works,26.0,23 min per ep,PG-13 - Teens 13 or older,8.22,143775.0,306.0,199.0,7653.0,Thursdays at 22:00 (JST),Fall,2013
2034,7161,Saki Zenkoku-hen,Saki: The Nationals,咲-Saki-全国編,TV,Manga,TV Tokyo,Game,Studio Gokumi,13.0,24 min per ep,PG-13 - Teens 13 or older,7.47,11048.0,1778.0,2607.0,114.0,Mondays at 01:35 (JST),Winter,2014
2036,7165,Choujigen Game Neptune The Animation,Hyperdimension Neptunia,超次元ゲイム ネプテューヌ THE ANIMATION,TV,Game,Frontier Works,Comedy,David Production,12.0,24 min per ep,PG-13 - Teens 13 or older,7.12,40985.0,3185.0,914.0,1192.0,Unknown,Summer,2013
2038,7168,Choboraunyopomi Gekijou Ai Mai Mii,Ai-Mai-Mi,ちょぼらうにょぽみ劇場 あいまいみー,TV,4-koma manga,AT-X,Slice of Life,Seven,13.0,3 min per ep,PG-13 - Teens 13 or older,5.87,9909.0,8057.0,2689.0,37.0,Unknown,Winter,2013
2039,7173,Aku no Hana,Flowers of Evil,惡の華,TV,Manga,Starchild Records,School,Zexcs,13.0,24 min per ep,R - 17+ (violence & profanity),7.18,44246.0,2927.0,788.0,1855.0,Unknown,Spring,2013
2040,7174,Bakumatsu Gijinden Roman,Bakumatsu Gijinden Roman,幕末義人伝 浪漫,TV,Other,Sotsu,Historical,TMS Entertainment,12.0,23 min per ep,PG-13 - Teens 13 or older,6.17,3317.0,7141.0,4157.0,1.0,Tuesdays at Unknown,Winter,2013
2042,7189,Chikkun Takkun,Tickntacn,チックン タックン,TV,Manga,Nihon Ad Systems,Comedy,Studio Pierrot,23.0,24 min per ep,PG - Children,5.47,19.0,10638.0,12079.0,0.0,Unknown,Spring,1984
2045,7196,Love Lab,Love Lab,恋愛ラボ,TV,Manga,Aniplex,Comedy,Doga Kobo,13.0,24 min per ep,PG-13 - Teens 13 or older,7.43,49840.0,1918.0,795.0,453.0,Fridays at 02:05 (JST),Summer,2013
2046,7197,Dansai Bunri no Crime Edge,The Severing Crime Edge,断裁分離のクライムエッジ,TV,Manga,Media Factory,Fantasy,Studio Gokumi,13.0,24 min per ep,R - 17+ (violence & profanity),6.8,33682.0,4414.0,1169.0,142.0,Unknown,Spring,2013
2047,7205,Norakuro-kun,Norakuro Kun,のらくろクン,TV,Manga,Yomiko Advertising,Comedy,Studio Pierrot,50.0,25 min per ep,G - All Ages,6.59,22.0,12303.0,11812.0,0.0,Unknown,Fall,1987
2048,7207,Photokano,Photo Kano,フォトカノ,TV,Visual novel,TBS,Romance,Madhouse,13.0,23 min per ep,PG-13 - Teens 13 or older,6.31,30496.0,6600.0,1263.0,87.0,Unknown,Spring,2013
2049,7209,"Boku no Imouto wa ""Osaka Okan""","My sister is ""Osaka Okan""",僕の妹は「大阪おかん」,TV,Original,Toho,Comedy,Charaction,12.0,3 min per ep,PG-13 - Teens 13 or older,5.85,6915.0,8103.0,3277.0,8.0,Unknown,Winter,2013
2050,7211,Tamako Market,Tamako Market,たまこまーけっと,TV,Original,Animax,Slice of Life,Kyoto Animation,12.0,23 min per ep,PG-13 - Teens 13 or older,7.38,81277.0,2167.0,462.0,801.0,Unknown,Winter,2013
2051,7212,Dokidoki! Precure,Glitter Force Doki Doki,ドキドキ! プリキュア,TV,Original,Asahi Broadcasting,Action,Toei Animation,49.0,24 min per ep,G - All Ages,6.87,3571.0,4132.0,3801.0,87.0,Unknown,Winter,2013
2054,7228,Shingeki no Kyojin,Attack on Titan,進撃の巨人,TV,Manga,Production I.G,Action,Wit Studio,25.0,24 min per ep,R - 17+ (violence & profanity),8.48,1038161.0,116.0,2.0,70555.0,Sundays at 01:58 (JST),Spring,2013
2055,7232,Devil Survivor 2 The Animation,Devil Survivor 2 The Animation,デビルサバイバー２ THE ANIMATION,TV,Game,Mainichi Broadcasting System,Supernatural,Bridge,13.0,24 min per ep,R - 17+ (violence & profanity),7.0,60767.0,3670.0,739.0,507.0,Unknown,Spring,2013
2056,7234,Arata Kangatari,Arata: The Legend,アラタカンガタリ～革神語～,TV,Manga,TV Tokyo,Adventure,Satelight,12.0,24 min per ep,PG-13 - Teens 13 or older,6.6,23846.0,5330.0,1648.0,57.0,Tuesdays at 02:05 (JST),Spring,2013
